--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.HTTPDo(HTTPQueue.java:491)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.send(HTTPQueue.java:411)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.access$400(HTTPQueue.java:31)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue$QueueItemRunnable.run(HTTPQueue.java:566)
09-17 11:10:42.693  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1167)
09-17 11:10:42.693  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:641)
09-17 11:10:42.693  3856  3968 W System.err: 	at java.lang.Thread.run(Thread.java:764)
09-17 11:10:42.693  3856  3968 W System.err: Caused by: java.security.cert.CertificateException: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrustedRecursive(TrustManagerImpl.java:646)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:495)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:418)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.getTrustedChainForServer(TrustManagerImpl.java:339)
09-17 11:10:42.693  3856  3968 W System.err: 	at android.security.net.config.NetworkSecurityTrustManager.checkServerTrusted(NetworkSecurityTrustManager.java:94)
09-17 11:10:42.693  3856  3968 W System.err: 	at android.security.net.config.RootTrustManager.checkServerTrusted(RootTrustManager.java:88)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.Platform.checkServerTrusted(Platform.java:208)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.verifyCertificateChain(ConscryptFileDescriptorSocket.java:404)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeCrypto.SSL_do_handshake(Native Method)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeSsl.doHandshake(NativeSsl.java:375)
09-17 11:10:42.693  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.startHandshake(ConscryptFileDescriptorSocket.java:224)
09-17 11:10:42.693  3856  3968 W System.err: 	... 20 more
09-17 11:10:42.693  3856  3968 W System.err: Caused by: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:42.693  3856  3968 W System.err: 	... 31 more
09-17 11:10:42.707  7413  7413 D su      : su invoked.
09-17 11:10:42.709  7429  7429 D su      : starting daemon client 2000 0
09-17 11:10:42.711  3856  3968 W System.err: javax.net.ssl.SSLHandshakeException: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.startHandshake(ConscryptFileDescriptorSocket.java:229)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.io.RealConnection.connectTls(RealConnection.java:192)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.io.RealConnection.connectSocket(RealConnection.java:149)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.io.RealConnection.connect(RealConnection.java:112)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.http.StreamAllocation.findConnection(StreamAllocation.java:184)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.http.StreamAllocation.findHealthyConnection(StreamAllocation.java:126)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.http.StreamAllocation.newStream(StreamAllocation.java:95)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.http.HttpEngine.connect(HttpEngine.java:281)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.http.HttpEngine.sendRequest(HttpEngine.java:224)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.execute(HttpURLConnectionImpl.java:466)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.connect(HttpURLConnectionImpl.java:132)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getOutputStream(HttpURLConnectionImpl.java:263)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.DelegatingHttpsURLConnection.getOutputStream(DelegatingHttpsURLConnection.java:218)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.HttpsURLConnectionImpl.getOutputStream(HttpsURLConnectionImpl.java:26)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.HTTPDo(HTTPQueue.java:491)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.send(HTTPQueue.java:411)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.access$400(HTTPQueue.java:31)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue$QueueItemRunnable.run(HTTPQueue.java:566)
09-17 11:10:42.711  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1167)
09-17 11:10:42.711  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:641)
09-17 11:10:42.711  3856  3968 W System.err: 	at java.lang.Thread.run(Thread.java:764)
09-17 11:10:42.711  3856  3968 W System.err: Caused by: java.security.cert.CertificateException: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrustedRecursive(TrustManagerImpl.java:646)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:495)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:418)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.getTrustedChainForServer(TrustManagerImpl.java:339)
09-17 11:10:42.711  3856  3968 W System.err: 	at android.security.net.config.NetworkSecurityTrustManager.checkServerTrusted(NetworkSecurityTrustManager.java:94)
09-17 11:10:42.711  3856  3968 W System.err: 	at android.security.net.config.RootTrustManager.checkServerTrusted(RootTrustManager.java:88)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.Platform.checkServerTrusted(Platform.java:208)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.verifyCertificateChain(ConscryptFileDescriptorSocket.java:404)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeCrypto.SSL_do_handshake(Native Method)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeSsl.doHandshake(NativeSsl.java:375)
09-17 11:10:42.711  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.startHandshake(ConscryptFileDescriptorSocket.java:224)
09-17 11:10:42.711  3856  3968 W System.err: 	... 20 more
09-17 11:10:42.711  3856  3968 W System.err: Caused by: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:42.711  3856  3968 W System.err: 	... 31 more
09-17 11:10:42.712  7417  7417 D su      : starting daemon client 2000 0
09-17 11:10:42.713  7390  7390 D su      : starting daemon client 2000 0
09-17 11:10:42.715  7336  7336 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:42.717  7436  7436 D su      : su invoked.
09-17 11:10:42.720  7448  7448 D su      : connecting client 7405
09-17 11:10:42.725  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:42.725  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:42.725  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:42.725  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:42.725  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:42.725  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:42.725  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:42.727  7336  7336 D AndroidRuntime: Shutting down VM
09-17 11:10:42.733  7397  7397 D su      : remote pid: 7350
09-17 11:10:42.741  7418  7418 D su      : starting daemon client 2000 0
09-17 11:10:42.744  7423  7423 D su      : remote pid: 7359
09-17 11:10:42.744  7455  7455 D su      : connecting client 7379
09-17 11:10:42.745  7445  7445 D su      : starting daemon client 2000 0
09-17 11:10:42.745  7419  7419 D su      : connecting client 7393
09-17 11:10:42.746  7463  7463 D su      : su invoked.
09-17 11:10:42.747  7450  7450 D su      : connecting client 7404
09-17 11:10:42.747  7437  7437 D su      : remote pts_slave: 
09-17 11:10:42.747  7466  7466 D su      : remote pid: 7405
09-17 11:10:42.750  7481  7481 D su      : remote pid: 7404
09-17 11:10:42.752  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:42.752  1559  1567 I chatty  : uid=1000(system) FinalizerDaemon identical 19 lines
09-17 11:10:42.752  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:42.752  7488  7488 D su      : remote pts_slave: 
09-17 11:10:42.756  7490  7490 D su      : su invoked.
09-17 11:10:42.761  7468  7468 D su      : su invoked.
09-17 11:10:42.761  7486  7486 D su      : remote pts_slave: 
09-17 11:10:42.766  7485  7485 D su      : remote uid: 2000
09-17 11:10:42.770  7478  7478 D su      : connecting client 7410
09-17 11:10:42.773  7494  7494 D su      : su invoked.
09-17 11:10:42.773  7473  7473 D su      : connecting client 7406
09-17 11:10:42.776  7472  7472 D su      : remote pts_slave: 
09-17 11:10:42.777  7402  7402 D su      : remote uid: 2000
09-17 11:10:42.779  7499  7499 D su      : remote pid: 7410
09-17 11:10:42.779  7462  7462 D su      : starting daemon client 2000 0
09-17 11:10:42.780  7501  7501 D su      : remote pid: 7406
09-17 11:10:42.784  7497  7497 D su      : remote uid: 2000
09-17 11:10:42.784  7491  7491 D su      : remote uid: 2000
09-17 11:10:42.784  7454  7454 D su      : su invoked.
09-17 11:10:42.786  7480  7480 D su      : starting daemon client 2000 0
09-17 11:10:42.787  7510  7510 D su      : remote pts_slave: 
09-17 11:10:42.789  7498  7498 D su      : remote req pid: 7354
09-17 11:10:42.789  7511  7511 D su      : su invoked.
09-17 11:10:42.793  7504  7504 D su      : remote req pid: 7344
09-17 11:10:42.794  7502  7502 D su      : remote uid: 2000
09-17 11:10:42.795  7520  7520 D su      : starting daemon client 2000 0
09-17 11:10:42.799  7518  7518 D su      : remote uid: 2000
09-17 11:10:42.800  7522  7522 D su      : remote args: 5
09-17 11:10:42.801  7521  7521 D su      : remote req pid: 7378
09-17 11:10:42.801  7503  7503 D su      : remote pid: 7393
09-17 11:10:42.806  7523  7523 D su      : remote req pid: 7342
09-17 11:10:42.807  7496  7496 D su      : starting daemon client 2000 0
09-17 11:10:42.807  7531  7531 D su      : remote args: 5
09-17 11:10:42.808  7507  7507 D su      : remote pts_slave: 
09-17 11:10:42.811  7477  7477 D su      : remote pts_slave: 
09-17 11:10:42.811  7535  7535 D su      : remote args: 5
09-17 11:10:42.814  7537  7537 D su      : waiting for child exit
09-17 11:10:42.815  7533  7533 D su      : su invoked.
09-17 11:10:42.816  7534  7534 D su      : remote pts_slave: 
09-17 11:10:42.817  7539  7539 D su      : su invoked.
09-17 11:10:42.817  7528  7528 D su      : remote req pid: 7395
09-17 11:10:42.820  7540  7540 D su      : remote uid: 2000
09-17 11:10:42.821  7509  7509 D su      : connecting client 7435
09-17 11:10:42.823  7542  7542 D su      : waiting for child exit
09-17 11:10:42.823  7530  7530 D su      : waiting for child exit
09-17 11:10:42.825  7543  7543 D su      : Allowing shell.
09-17 11:10:42.826  7544  7544 D su      : remote uid: 2000
09-17 11:10:42.828  7550  7550 D su      : su invoked.
09-17 11:10:42.829  7545  7545 D su      : Allowing shell.
09-17 11:10:42.835  7554  7554 D su      : remote req pid: 7374
09-17 11:10:42.836  7555  7555 D su      : Allowing shell.
09-17 11:10:42.839  7552  7552 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962114 count=10 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.839  7500  7500 D su      : starting daemon client 2000 0
09-17 11:10:42.840  7557  7557 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962768 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.845  7512  7512 D su      : remote req pid: 7387
09-17 11:10:42.846  7526  7526 D su      : connecting client 7505
09-17 11:10:42.854  7567  7567 D su      : connecting client 7467
09-17 11:10:42.854  7519  7519 D su      : remote args: 5
09-17 11:10:42.856  7515  7515 D su      : starting daemon client 2000 0
09-17 11:10:42.859  7570  7570 D su      : remote args: 5
09-17 11:10:42.860  7513  7513 D su      : su invoked.
09-17 11:10:42.861  7516  7516 D su      : connecting client 7444
09-17 11:10:42.862  7546  7546 D su      : remote args: 5
09-17 11:10:42.871  7578  7578 D su      : connecting client 7452
09-17 11:10:42.873  7582  7582 D su      : waiting for child exit
09-17 11:10:42.874  7558  7558 D su      : remote args: 5
09-17 11:10:42.879  7560  7560 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962800 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.879  7549  7549 D su      : remote req pid: 7382
09-17 11:10:42.882  7553  7553 D su      : remote pid: 7435
09-17 11:10:42.883  7589  7589 D su      : su invoked.
09-17 11:10:42.885  7479  7479 D su      : remote pid: 7379
09-17 11:10:42.886  7584  7584 D su      : remote pid: 7444
09-17 11:10:42.886  7562  7562 D su      : connecting client 7493
09-17 11:10:42.889  7576  7576 D su      : waiting for child exit
09-17 11:10:42.892  7572  7572 D su      : remote pid: 7505
09-17 11:10:42.893  7548  7548 D su      : remote uid: 2000
09-17 11:10:42.895  7591  7591 D su      : su invoked.
09-17 11:10:42.897  7592  7592 D su      : su invoked.
09-17 11:10:42.897  7593  7593 D su      : remote pid: 7452
09-17 11:10:42.898  7583  7583 D su      : starting daemon client 2000 0
09-17 11:10:42.899  7587  7587 D su      : waiting for child exit
09-17 11:10:42.899  3856  3949 I         : 
09-17 11:10:42.899  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:42.899  3856  3949 I [11:10:42.899] M : [ERROR] Bundle::iterator::unpack( authenticate ): Not enough data on stream at 11 for payload (1 left, needed 4)
09-17 11:10:42.899  3856  3949 I         : 
09-17 11:10:42.899  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:42.899  3856  3949 I [11:10:42.899] M : [ERROR] Bundle::iterator::unpack: Got corrupted message header
09-17 11:10:42.899  3856  3949 I         : 
09-17 11:10:42.899  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:42.899  3856  3949 I [11:10:42.899] M : [ERROR] Nub::processOrderedPacket( 172.16.1.2:25010 ): Discarding bundle due to corrupted header for message id 0
09-17 11:10:42.899  3856  3949 I         : WARNING ***************************************************************************
09-17 11:10:42.899  3856  3949 I [11:10:42.899] M : [WARNING] MainApp::poll: poll returned unexpectedly (REASON_CORRUPTED_PACKET).
09-17 11:10:42.903  7602  7602 D su      : remote pts_slave: 
09-17 11:10:42.905  7579  7579 D su      : remote pid: 7467
09-17 11:10:42.905  7603  7603 D su      : remote pts_slave: 
09-17 11:10:42.908  7601  7601 D su      : su invoked.
09-17 11:10:42.913  7614  7614 D su      : remote pts_slave: 
09-17 11:10:42.914  7609  7609 D su      : connecting client 7506
09-17 11:10:42.917  7608  7608 D su      : remote pts_slave: 
09-17 11:10:42.919  7612  7612 D su      : remote uid: 2000
09-17 11:10:42.920  7616  7616 D su      : Allowing shell.
09-17 11:10:42.920  7595  7595 D su      : waiting for child exit
09-17 11:10:42.922  7617  7617 D su      : remote uid: 2000
09-17 11:10:42.923  7492  7492 D su      : starting daemon client 2000 0
09-17 11:10:42.927  7613  7613 D su      : remote uid: 2000
09-17 11:10:42.933  7611  7611 D su      : remote pts_slave: 
09-17 11:10:42.935  7596  7596 D su      : remote args: 5
09-17 11:10:42.936  7624  7624 D su      : connecting client 7487
09-17 11:10:42.941  7605  7605 D su      : Allowing shell.
09-17 11:10:42.944  7607  7607 D su      : Allowing shell.
09-17 11:10:42.955  7604  7604 D su      : remote req pid: 7352
09-17 11:10:42.959  7632  7632 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963554 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.961  7627  7627 D su      : remote uid: 2000
09-17 11:10:42.974  7639  7639 D su      : Allowing shell.
09-17 11:10:42.976  7635  7635 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963176 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.977  7625  7625 D su      : remote req pid: 7447
09-17 11:10:42.982  7600  7600 D su      : remote pts_slave: 
09-17 11:10:42.985  7629  7629 D su      : waiting for child exit
09-17 11:10:42.987  7622  7622 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962700 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:42.990  7641  7641 D su      : remote pid: 7493
09-17 11:10:43.003  7650  7650 D su      : remote args: 5
09-17 11:10:43.008  7643  7643 D su      : sending code
09-17 11:10:43.011  7620  7620 D su      : remote req pid: 7360
09-17 11:10:43.012  7619  7619 D su      : remote uid: 2000
09-17 11:10:43.017  7657  7657 D su      : waiting for child exit
09-17 11:10:43.022  7618  7618 D su      : remote pid: 7506
09-17 11:10:43.022  7651  7651 D su      : remote uid: 2000
09-17 11:10:43.028  7659  7659 D su      : client exited 1
09-17 11:10:43.029  7647  7647 D su      : remote args: 5
09-17 11:10:43.030  7660  7660 D su      : child exited
09-17 11:10:43.032  7649  7649 D su      : sending code
09-17 11:10:43.036  7663  7663 D su      : remote args: 5
09-17 11:10:43.039  7654  7654 D su      : remote pts_slave: 
09-17 11:10:43.039  7636  7636 D su      : su invoked.
09-17 11:10:43.046  7664  7664 D su      : remote req pid: 7439
09-17 11:10:43.053  7621  7621 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:43.053  7621  7621 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:43.055  7621  7621 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:43.057  7667  7667 D su      : waiting for child exit
09-17 11:10:43.059  7672  7672 D su      : Allowing shell.
09-17 11:10:43.062  7645  7645 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962724 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:43.063  7559  7559 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:43.063  7559  7559 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:43.065  7559  7559 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:43.068  7661  7661 D su      : sending code
09-17 11:10:43.070  7668  7668 D su      : child exited
09-17 11:10:43.071  7621  7621 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.073  7671  7671 D su      : remote req pid: 7460
09-17 11:10:43.077  7621  7621 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.081  7674  7674 D su      : remote uid: 2000
09-17 11:10:43.084  7633  7633 D su      : remote pid: 7487
09-17 11:10:43.089  7669  7669 D su      : client exited 1
09-17 11:10:43.092  7675  7675 D su      : remote args: 5
09-17 11:10:43.097  7642  7642 D su      : remote req pid: 7427
09-17 11:10:43.101  7559  7559 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:43.104  7687  7687 D su      : remote pts_slave: 
09-17 11:10:43.104  7688  7688 D su      : sending code
09-17 11:10:43.106  7694  7694 D su      : su invoked.
09-17 11:10:43.107  7621  7621 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.107  7559  7559 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:43.107  7621  7621 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.107  7662  7662 D su      : su invoked.
09-17 11:10:43.108  7621  7621 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.108  7621  7621 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.108  7621  7621 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.127  7682  7682 D su      : sending code
09-17 11:10:43.127  7621  7621 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.128  7684  7684 D su      : remote args: 5
09-17 11:10:43.137  7704  7704 D su      : Allowing shell.
09-17 11:10:43.140  7707  7707 D su      : waiting for child exit
09-17 11:10:43.144  7696  7696 D su      : client exited 1
09-17 11:10:43.148  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:43.149  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:43.149  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:43.149  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:43.149  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:43.149  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:43.149  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:43.149  7710  7710 D su      : child exited
09-17 11:10:43.151  7621  7621 D AndroidRuntime: Shutting down VM
09-17 11:10:43.163  7680  7680 D su      : child exited
09-17 11:10:43.166  7691  7691 D su      : remote args: 5
09-17 11:10:43.167  7676  7676 D su      : su invoked.
09-17 11:10:43.167  1559  2395 W NotificationService: Toast already killed. pkg=com.android.settings callback=android.app.ITransientNotification$Stub$Proxy@5208eda
09-17 11:10:43.168  7559  7559 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:43.168  7559  7559 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:43.169  7559  7559 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:43.169  7559  7559 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:43.169  7559  7559 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:43.169  7695  7695 D su      : child exited
09-17 11:10:43.169  7679  7679 D su      : client exited 1
09-17 11:10:43.170  7665  7665 D su      : remote req pid: 7416
09-17 11:10:43.172  1425  2147 D SurfaceFlinger: duplicate layer name: changing Toast to Toast#1
09-17 11:10:43.176  7716  7716 D su      : waiting for child exit
09-17 11:10:43.185  7698  7698 D su      : Allowing shell.
09-17 11:10:43.186  7685  7685 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963210 count=12 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:43.186  7559  7559 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:43.187  1905  1936 E EGL_emulation: tid 1936: eglSurfaceAttrib(1504): error 0x3009 (EGL_BAD_MATCH)
09-17 11:10:43.187  1905  1936 W OpenGLRenderer: Failed to set EGL_SWAP_BEHAVIOR on surface 0x763870a62c00, error=EGL_BAD_MATCH
09-17 11:10:43.198  7551  7551 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:43.198  7551  7551 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:43.220  7551  7551 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:43.220  7720  7720 D su      : su invoked.
